case,date,incident_number,incident_type,incident_call_type,cas_event_number,status,address,city,state,zip,county,lat,lng,narrative,units_destroyed,units_major,units_minor,units_affected,num_people_injured,num_people_hospitalized,num_people_deceased,num_adults,num_children,num_families,assistance_given,incident_verified,dispatch_relayed,responders_identified,dat_on_scene,dat_departed_scene
89,1/19/2014,14-0627,fire,hot,1-1FD67N,closed,200 East 141st Street,Dolton,IL,60419,Cook,41.639242,-87.616983,"Car into back of house, cought house on fire and bedroom on fire, fire damage in bedroom, smoke and water throughout, power off, Major damage. Client has Ins but doesnt know who there are or how to contact them.

Health Service contacted",0,1,0,0,0,0,0,2,0,0,385,1/20/2014 5:46,1/20/2014 6:35,1/20/2014 6:52,1/20/2014 7:55,1/20/2014 9:00
90,1/20/2014,14-0629,fire,cold,1-1FDG2X,closed,229 Ogden Street,Hammond,IN,46320,Lake,41.613982,-87.520738,Carriage house located at rear of single family home address. Fire was contained to kitchen at stove and cabinets. Smoke throughout  utilities are on. Providing food for 5    $135.00,0,0,1,0,0,0,0,2,3,1,135,1/20/2014 19:26,NA,1/20/2014 20:30,1/20/2014 22:45,1/21/2014 0:00
91,1/20/2014,14-0630,fire,hot,1-1FDG33,closed,11731 South Throop Street,Chicago,IL,60643,Cook,41.680335,-87.653814,...,0,1,0,1,0,0,0,2,1,1,405,1/21/2014 1:36,1/21/2014 1:38,1/21/2014 1:54,1/21/2014 3:22,1/21/2014 4:03
92,1/20/2014,14-0631,fire,cold,1-1FDG39,closed,918 Lawrence Place,Lake Station,IN,46405,Lake,41.5933747,-87.2541471,"DA:  Fire stared at 4:30pm due to electrical.  Major damage throughout.  Back of the trailer was completely destroyed.  Major smoke and water damage throughout as well.

Awaiting HS and MH follow-up for client:  Kimberly Carter @ 219-512-3750 or 219-963-6693 preferably by 10:30-11:00am in the morning; when client indicated she will be waking up.",1,1,1,1,0,0,0,2,0,1,817,1/21/2014 1:45,1/21/2014 1:57,1/21/2014 2:19,1/21/2014 4:02,1/21/2014 5:46
93,1/20/2014,14-0632,fire,cold,1-1FDOWL,closed,15308 Myrtle Avenue,Harvey,IL,60426,Cook,41.611349,-87.653155,"DO NOT PROVIDE THIS CLIENT WITH ANY ADDITIONAL ASSISTANCE. IF THEY CALL FOR HS OR ANY OTHER SERVICES, CALL KEN COZZI.

Harvey FD verified building as abandoned.

Corr address of 15308 Myrtle

DA: 2 sty, fire on 2nd floor, 2nd fl destroyed, power off.",0,1,0,0,0,0,0,2,0,0,655,1/21/2014 2:07,1/21/2014 8:05,1/21/2014 8:19,1/21/2014 9:45,1/21/2014 10:30
94,1/21/2014,14-0634,fire,hot,NA,closed,5930 South Wolcott Avenue,Chicago,IL,60636,Cook,41.785687,-87.671988,"5934 is destroyed but vacant

5930 very minor siding damage only, no one around",0,0,0,0,0,0,0,0,0,0,NA,1/21/2014 6:24,1/21/2014 6:25,1/21/2014 6:42,1/21/2014 7:45,1/21/2014 7:55
95,1/21/2014,14-0635,fire,hot,NA,closed,5719 South Justine Street,Chicago,IL,60636,Cook,41.789801,-87.662888,"Client not on scene

DA: 2.5 sty wd frame SFD, started on 2nd fl, major fire damage on 2nd fl and attic, water and smoke damage 1st fl.

Qualifies for food and shelter. poss clothes if on 2nd fl.

Poss 1a, 4c
Door hanger left.",0,0,0,0,0,0,0,0,0,0,NA,1/21/2014 9:09,1/21/2014 9:10,1/21/2014 9:28,1/21/2014 11:10,1/21/2014 12:15
96,1/21/2014,14-0636,fire,hot,1-1FDUX9,closed,738 Cobb Boulevard,Kankakee,IL,60901,Kankakee,41.111067,-87.856696,"3 story single family wood frame, fire started on the second floor in laundry room. Major Smoke damage 
throughout.Laundry room wall and ceiling vented. first floor kitchen major water damage, clothes salvageable. no injuries, no health or mental services requested.

Landlord: Mike and Cindy McGovern 630-267-7561",0,1,0,1,0,0,0,2,1,1,295,1/21/2014 17:33,NA,1/21/2014 17:52,1/21/2014 19:22,1/21/2014 20:32
97,1/21/2014,14-0637,fire,hot,1-1FDZKH,closed,6554 South Green Street,Chicago,IL,60621,Cook,41.774474,-87.646207,"Rich: Brenton is going to respond to the incident with you. His number is 312-907-2011.  He will meet you at the location.

Brenton: Rich's cell is 630-279-3688

",0,1,1,0,0,0,0,3,0,2,785,1/21/2014 21:51,1/21/2014 22:05,1/21/2014 22:45,1/22/2014 0:06,1/22/2014 1:20
98,1/21/2014,14-0638,fire,hot,1-1FDZMB,closed,719 Patterson Road,Joliet,IL,60436,Will,41.496724,-88.09951,"5:33 PM: Joliet, IL (Will County)| Working Fire| 719 Patterson Rd| 52 Truck reporting a fire in a 1 story house. Fire from the front door. 1LSO| 17:26 

",1,0,0,0,0,0,0,3,0,1,865,1/21/2014 23:45,NA,1/22/2014 0:15,1/22/2014 1:03,1/22/2014 1:44
99,1/21/2014,14-0641,fire,hot,1-1FDZNB,closed,4637 Garfield Street,Gary,IN,46408,Lake,41.534386,-87.357692,See Timeline,1,0,0,0,0,0,0,2,3,1,1485,1/22/2014 2:11,1/22/2014 2:18,1/22/2014 2:30,1/22/2014 3:28,1/22/2014 4:40
100,1/21/2014,14-0642,fire,hot,1-1FDZJN,closed,48 Margaret's Lane,Aurora,IL,60505,Kane,41.7709987,-88.2865923,"Contact  for family at this time is Linda, ER nurse 630-801-2633.

Please stop at home to do a DA, then go to Provena  Mercy Medical Center: 1235 North Highland Ave, Aurora to meet the family. Provide assistance for three family members only at this time.

DA: Started in back of unit, propane heater, destroyed. No insurance.

Mental Health to follow up.",1,0,0,0,4,2,0,4,0,1,1075,1/22/2014 3:15,NA,1/22/2014 5:07,1/22/2014 5:30,1/22/2014 7:25
101,1/21/2014,14-0643,fire,hot,1-1FEDD3,closed,47 West 151st Street,Harvey,IL,60426,Cook,41.61562,-87.658842,"Ken Cozzi Damage Assessment: 

Onsite assessment. No refrigerator. One mattress on floor. No food. Entire house inhabitable.",0,0,0,1,0,0,0,3,0,1,625,1/22/2014 6:17,NA,1/22/2014 21:05,1/22/2014 21:25,1/22/2014 22:55
102,1/22/2014,14-0644,fire,hot,1-1FDZLL,closed,3808 West 86th Street,Chicago,IL,60652,Cook,41.737026,-87.717112,DA: Destroyed,1,0,0,0,0,0,0,3,2,1,1485,1/22/2014 8:37,1/22/2014 8:40,1/22/2014 9:00,1/22/2014 9:40,1/22/2014 10:35
103,1/22/2014,14-0645,fire,hot,1-1FDZNH,closed,1410 50th Court,Cicero,IL,60804,Cook,41.861677,-87.751084,"HS Follow up for Lillian Gonzales

1410 Destroyed
1412 50th Ct might also be affected, water damage, utilities off.",2,0,0,0,0,0,0,5,2,2,1560,1/22/2014 10:38,1/22/2014 10:45,1/22/2014 11:00,1/22/2014 11:05,1/22/2014 13:22
104,1/22/2014,14-0646,fire,hot,NA,closed,4212 West 16th Street,Chicago,IL,60623,Cook,41.8587962,-87.7304389,Responders on scene. Police did not permit responders to park or approach building due to being a crime scene and advised the building was vacant. Responders left scene.,0,0,0,1,0,0,0,0,0,0,NA,1/22/2014 13:25,1/22/2014 13:30,1/22/2014 13:45,1/22/2014 15:21,1/22/2014 15:25
105,1/22/2014,14-0648,fire,hot,1-1FEDE3,closed,2302 South Damen Avenue,Chicago,IL,60608,Cook,41.850181,-87.676095,"Major damage. water covering first floor. second floor chard. windows out. roof vented no utilities.

one person transported to hospital due to smoke as precaution.",0,1,0,0,1,1,0,3,1,1,895,1/22/2014 18:48,1/22/2014 19:01,1/22/2014 19:18,1/22/2014 19:53,1/22/2014 20:55
106,1/22/2014,14-0651,fire,hot,1-1FEDCB,closed,9035 Harlem Avenue,Bridgeview,IL,60455,Cook,41.727105,-87.798376,"DMH Follow-up requested for some cases in this incident. See individual case notes for details. 

DA: 3 flat 12 unit, started in SE 1st fl apt. all utils off. 
1 destroyed, 11 minor smoke and water damage

Media is aware",1,0,11,0,0,0,0,14,3,5,3755,1/23/2014 6:05,1/23/2014 6:10,1/23/2014 6:27,1/23/2014 7:20,1/23/2014 9:50
107,1/23/2014,14-0652,fire,hot,1-1FEDCX,closed,4008 South Calumet Avenue,Chicago,IL,60653,Cook,41.821653,-87.618848,"1pm 1/25/14
Client Sanora called seaking assistance...5min later daughter Tanisha called... after much dicussion, set up a meeting for 2:45pm at Rauner.
1:44pm OKed with SBU Sarah
1:48pm located trainee
1:55pm located full responder-julie anne lyons
2:33 clients arrived early at Raunner told them to wait 10 min for responders to arrive and let them in.
CEW
2:55pm everyone is at Raunner
3:15pm 
wrap-up
Julianne says DA-minor, heavy smoke, roof vented & utilities off.
+ Cac activated
responders leaving Rauner

Clients will only qualify for food and shelter and will recieve one card.
CEW

DA: 3 sty brick w/basement
started in basement, major fire damage, smoke and water damage throughout rest (minor)

windows out, power off.

LL: Ruben Lopez 847-323-3519

2 unserviced units (qualifies)
Senora Alford (2S) 
Basement North",0,1,7,0,0,0,0,13,5,6,2403,1/23/2014 6:37,1/23/2014 6:40,1/23/2014 6:57,1/23/2014 8:04,1/23/2014 10:40
108,1/23/2014,14-0653,hazmat,hot,NA,closed,2336 South Kedzie Avenue,Chicago,IL,60623,Cook,41.848858,-87.7055029,"We were notified by Gary Schenkel, OEMC, that a gas line was broke and that gas was being turned off to potentially a three block area in the neighborhood.  Potentially up to 1,000 residents could be displaced.  An ICP was set up at the fire station across the street from the affected buildings at 24th and Kedzie.  SBU Emily Krettler was sent to the scene to offer ARC assistance and to monitor the incident.  It became apparent that only two or three buildings ultimately had their gas cut off and that residents should have services returned by 5:00PM.  Krettler of scene at 2:40PM.",0,0,0,4,0,0,0,0,0,0,NA,1/23/2014 19:30,1/23/2014 19:30,1/23/2014 19:35,1/23/2014 20:00,1/23/2014 20:45
109,1/23/2014,14-0654,fire,hot,NA,closed,6050 South Rhodes Avenue,Chicago,IL,60637,Cook,41.7842879,-87.612394,"Chicago, IL (Cook County)| Still & Box Fire| 6050 S Rhodes Ave| CFD on scene and has heavy fire showing| 14:35

Client Thomas Walker 773-885-4500 not on scene. Would qualify for services, responders left door hanger. Landlord Joe Adomwonyi 773-315-0162 verified Mr. Walker was resident. Wilson noticed other names on Mr. Walker's mailbox and thinks there may be other family members living there that Landlord is unfamiliar with. If other people call seeking assistance it's possible they live there but ask for ID's.",0,1,0,0,0,0,0,1,0,0,NA,1/23/2014 20:58,NA,1/23/2014 21:05,1/23/2014 22:00,1/23/2014 22:18
110,1/23/2014,14-0657,fire,hot,1-1FFRAX,closed,8637 South Karlov Avenue,Chicago,IL,60652,Cook,41.7355159,-87.723526,"Single Family 1 Story Masonry Home w/ Basement

No interior DA allowed as per Fire Marshall Vasco but he told responders there was heavy smoke and fire damage in basement and heavy smoke/fire/water damage on first floor. Utilities are out, windows are out and roof is vented. 

Grandmother lives in house with Daughter, Son-in-Law, and their child. Grandma was severely burned in fire and rushed to Christ Hospital as per OEMC. DMH follow up will be needed - on call DMH notified.",0,1,0,0,1,1,0,3,1,1,625,1/23/2014 22:44,1/23/2014 22:50,1/23/2014 23:08,1/24/2014 0:15,1/24/2014 1:23
111,1/23/2014,14-0665,fire,hot,NA,closed,3809 Butterfield Road,Bellwood,IL,60104,Cook,41.883571,-87.880105,"Five displaced adults at Bellwood Fire Department @ 3200 West Washington Blvd. 

Actually 3 Adults 2 Kids

Exterior DA only. Utilities off, otherwise no visible damage from outside. Board up on scene . Clients have home owner's insurance and are covered - staying in a hotel per their insurance.",0,1,0,0,0,0,0,3,2,1,NA,1/24/2014 2:22,1/24/2014 3:45,1/24/2014 3:46,1/24/2014 5:00,1/24/2014 5:28
112,1/23/2014,14-0667,fire,hot,1-1FFRB3,closed,3307 West 37th Place,Chicago,IL,60632,Cook,41.825017,-87.707257,"DMH Follow up requested for Client Martinez by Responders. 

1-1/2 Story SFH siding on masonry. 

Fire started while client was trying to defrost pipes in kitchen. Entire back half of house destroyed. Front living room and bedroom smoke damage, but clothing salvageable. Food and shelter provided. Gloved given to client.",0,1,0,0,0,0,0,2,0,1,275,1/24/2014 3:03,1/24/2014 3:08,1/24/2014 3:25,1/24/2014 4:04,1/24/2014 5:32
113,1/23/2014,14-0668,fire,hot,NA,closed,2944 West Lexington Street,Chicago,IL,60612,Cook,41.8722,-87.7003359,"Fire was started on second floor back porch. Fire was small. No damage to interior of building, utilities still on, no need for services. 

An issue came up while responders were talking to residents in the apartment building. Child abuse was alleged to have occurred, which either led up to or precluded the fire in some way. Responders were not sure what to do with this information as per mandatory reporting. SBU was called and it was decided that a hotline call would be necessary. Responders to follow up with SBU directly should they have further questions.",0,0,0,1,0,0,0,0,0,0,NA,1/24/2014 3:03,1/24/2014 3:08,1/24/2014 3:30,1/24/2014 4:20,1/24/2014 4:45
114,1/24/2014,14-0671,fire,hot,1-1FFRB9,closed,2638 North Lincoln Avenue,Chicago,IL,60614,Cook,41.92976,-87.6552256,"Commercial building with apartment on the top floors. Fire started on the fire floor. Major fire, water and smoke damage. 

Apartment Management - Chicago Apartment Place 773-472-3713

Unserved clients: qualifies for food, clothing and shelter. 
1st floor
Tenley Dorrill 214-263-8856 out of town
2nd floor 
Dillan Reid -574-850-180 - upset
Matthew French 708-601-1608 declined services",0,0,0,3,0,0,0,2,0,2,610,1/24/2014 9:23,1/24/2014 9:25,1/24/2014 9:30,1/24/2014 9:50,1/24/2014 11:39
115,1/24/2014,14-0673,fire,hot,1-1FFRBF,closed,2535 West 39th Place,Chicago,IL,60632,Cook,41.821725,-87.688677,"Fire started in the attic. 1ST FLOOR major water fire smoke damage. BASEMENT Heavy smoke a and water with an ice pond on the floor. Utilities Off, Windows Out, Roof Vented. Fire Chief said building is unsafe.",0,2,0,0,0,0,0,6,0,2,1335,NA,NA,1/24/2014 16:33,1/24/2014 17:02,1/24/2014 19:31
116,1/24/2014,14-0674,fire,hot,1-1FFRBL,closed,5430 South New England Avenue,Chicago,IL,60638,Cook,41.793076,-87.79439,"1.5 Story brick single family home. Fire started in the back porch from newly installed electrical service. Fire moved up the back of the house and into the second floor bedrooms. Roof Vented, Windows out, Utilities Off",0,1,0,0,0,0,0,1,5,1,1105,1/24/2014 18:48,NA,1/24/2014 19:00,1/24/2014 19:24,1/24/2014 20:32
117,1/24/2014,14-0675,fire,hot,1-1FFRBR,closed,1118 Brighton Place,Glen Ellyn,IL,60137,Dupage,41.86148,-88.037114,"Lombard Fire Dept called requesting a warming bus. Red Cross referred them to PACE. Then Dodi with CHAD called a few hours later to say there was one client displaced.

Damage assessment is:",0,1,0,0,0,0,0,4,0,1,339,1/24/2014 19:08,NA,1/24/2014 19:47,1/24/2014 20:21,1/24/2014 20:45
118,1/24/2014,14-0677,fire,hot,NA,closed,8337 South Vernon Avenue,Chicago,IL,60619,Cook,41.7427286,-87.6130595,"Still alarm fire in a 2-story, single-family home started in the electrical wiring in the attic. Most of the roof is destroyed. Major water and smoke damage with large amounts of debris throughout.

Client is insured and declined assistance.",0,1,0,0,0,0,0,0,0,0,NA,1/24/2014 21:41,1/24/2014 21:45,1/24/2014 22:05,1/24/2014 23:01,1/24/2014 23:20
119,1/24/2014,14-0679,fire,hot,NA,closed,6125 West 2000N Road,Bonfield,IL,60913,Kankakee,41.1472333,-87.9937936,"Assumption - fire was started by burglars. 
2 story frame house
Fire started in bedroom on the second floor. Bedrooms destroyed, windows out, roof vented and utilities off.

 Families not at home when the fire started.

Client have Travelers Insurance










",0,1,0,0,0,0,0,2,3,1,NA,1/24/2014 15:37,1/25/2014 3:38,1/25/2014 3:55,1/25/2014 6:05,1/25/2014 7:30
120,1/25/2014,14-0681,fire,hot,1-1FGGKZ,closed,738 North Greenwood Avenue,Kankakee,IL,60901,Kankakee,41.1276838,-87.855338,See timeline,1,0,0,0,0,0,0,1,2,1,625,1/25/2014 6:18,NA,1/29/2014 15:00,1/27/2014 17:00,1/27/2014 18:30
121,1/25/2014,14-0682,fire,hot,1-1FFWNZ,closed,6420 South Loomis Boulevard,Chicago,IL,60636,Cook,41.777046,-87.659632,"2 story apartment building 
1st Floor completely destroyed and clothing not salvageable. 2nd floor windows out, roof vented, utilities off and clothing salvageable. Building being board-up. Property is bank owned with new landlord not on scene.",2,1,1,2,0,0,0,5,0,2,890,1/25/2014 9:55,NA,1/25/2014 10:21,1/25/2014 11:30,1/25/2014 13:31
122,1/25/2014,14-0683,fire,hot,NA,closed,4135 West 24th Place,Chicago,IL,60623,Cook,41.846682,-87.72765,"2Flat Brick with basement. Fire started at around 4:15AM. Fire started in back porch and went up walls. All windows are out. Roof vented. All utilities off. 

Miguel did further DA. Not eligible for clothing, shoes or seasonal garments. See notes each individual case. Responders says that clients have State Farm, who was left a message, but no one has yet called back. Clients will keep non-activated cards just in case they need housing for the night. They will call dispatch if they can't reach their insurance agent. 

DHS on call Olusegin Nutayi contacted by responders.

Miguel Recomends DMH--- mental health follow up for families (especially Maria Hernadez)
CEW

12:57pm William Toledo called-state farm unable to help him until Monday--client had to hang up...
Waiting on client to call back with State Farm claim information to use to verify with State Farm.
CEW

1/27/14 - 12:30PM - Spoke with William that everyone in the home now needs shelter.  He and his sister-in-law were atsying at a friends and he is now leaving for Mexico.  Therefore he is displaced.  His brother-in-law is staying at a friends across the street.  Admin Ken Cozzi spoke with William and pushed the fact they he was insured.  Admin reach out to his insurance agent, Michael Carl (773.582.7070) at State Farm and was directed to the State Farm adjuster, Timothy Cunningham (855.266.9012 x 309.622.5862).  Spoke with Timothy and he said that he can provide shelter for 5 nights and will be adjusted once they get a better idea as to the repairs/remodeling that needs to be done to the home.  Shelter was initially offered to William but he declined it since he was originally able to stay with friends.  Admin called William back and directed him back to Timothy.",3,0,0,0,0,0,0,0,0,0,1485,1/25/2014 11:05,NA,1/25/2014 11:25,1/25/2014 14:00,1/25/2014 15:20
123,1/25/2014,14-0684,fire,hot,1-1FFWSX,closed,204 Rhodes Avenue,Big Rock,IL,60511,Kane,41.7622832,-88.5472488,"Single story SFH attached to barn, completely destroyed.  Nothing salvagable.

Two adults and a 12 month old baby.  Family lost their dog in fire. 

Are staying with uncle Tristan who lives 1 block away at 303 Jefferson.",1,0,0,0,0,0,0,2,1,1,615,1/26/2014 2:21,NA,1/26/2014 2:51,1/26/2014 3:34,1/26/2014 5:31
124,1/25/2014,14-0685,fire,hot,NA,closed,10145 South Luella Avenue,Chicago,IL,60617,Cook,41.710357,-87.567812,"2 story brick SFH.  Fire started in 2nd flr bedroom.  BR destroyed.  Hole in roof.  No utilities.  1st flr water damage. Client, Roderick Irbey, is insured by Allstate, already has claim #.  Staying at sister's home tonight. Client stated he does not require assistance.  Steve gave him our number just in case. 


7:00 PM Chicago, IL (Cook County)| Still Alarm Fire| 10145 S Luella Ave| BN24 o/s fire 1st floor of 2 story brick 20x40, 1 LSO, T17 to the roof| 18:59

7:07 OEMC Verified Fire. 

7:50 PM Responders identified.",0,0,1,0,0,0,0,5,0,1,NA,1/26/2014 1:07,NA,1/26/2014 1:50,1/26/2014 3:01,1/26/2014 4:15
125,1/26/2014,14-0689,fire,hot,1-1FFWTP,closed,3039 196th Street,Lynwood,IL,60411,Cook,41.538828,-87.542626,"1:51 pm Client decline

3:00 pm Lynwood PD calling requesting client services.  4 adults, 1 child.  Client is standing by at 3029 196th Street.  Client is Willie Manning and phone is 312-804-1148

5:12 pm Health Services contacted (Jackie DeLong 815-953-1579)

5:36 pm Mental Health Services follow-up requested on 1/27/14 for Tiffany Manning and 18 yr old child.

5:44 pm Note:  Fire rekindled, fd returned to scene.  Home completely destroyed.  Pet deceased.",1,0,0,0,0,0,0,4,1,1,1101,1/26/2014 19:51,NA,1/26/2014 21:26,1/26/2014 22:41,1/26/2014 23:29
126,1/26/2014,14-0691,fire,hot,1-1FFWO5,closed,5601 Irving Park Road,Chicago,IL,60634,Cook,41.952871,-87.767193,"Reopened Lilly Oforio 847-813-9481 to set up appt. on 1/27. 

Reopened 1/27 Chelsea Couillard 312-208-9313 needs assistance for 1A 1C. Did not make contact w/ responders yesterday.

2 sty brick, apt over commercial
started in restaurant.

All units destroyed per FD.

Lilly Oforio 847-971-5171 not on scene

LL Tom Sherro 773-715-6100
 
1a, 1c taken to our lady of res hosp,

5 waters, 2 snacks",6,0,0,0,0,2,0,2,3,1,1370,1/27/2014 2:13,1/27/2014 2:15,1/27/2014 2:34,1/27/2014 4:09,1/27/2014 6:40
127,1/27/2014,14-0693,fire,hot,1-1FFX5C,closed,2120 Kenilworth Avenue,Berwyn,IL,60402,Cook,41.851647,-87.796222,"DA / INFO per FD:

1st Fl Uninhabitable (2 females)
2nd FL Some smoke, should be able to go back in in a day or 2. (1 male)

Bsmt: Some water damage. (1 male went to relatives)",0,2,0,1,1,1,0,3,0,2,525,1/27/2014 8:06,1/27/2014 8:10,1/27/2014 8:20,1/27/2014 9:15,1/27/2014 14:00
128,1/27/2014,14-0696,fire,cold,1-1FGGMJ,closed,211 Doris Avenue,Joliet,IL,60433,Will,41.505978,-88.076298,"Client Atasha Pinnell (815-661-1155) Requesting assistance for a fire that occured this afternoon. States there is no heat and not able to stay at residence.

Assistance provided to client - Debra Vasquez (779-225-2421).  Assistance provided to 7 displaced individuals (4 Adults, 3 Children), 1 Family.  

Damage overall is minimal, minor damage to the bedroom, along with south side wall and ceiling.  

Fire Dept will not allow clients to stay in apartment due to smoke smell.  

Landlord already came on scene and repaired damage to apartment.  

Damage is on the 2nd floor - south wall.  

Shelter provided for 7 - $400
Food provided for 7 - $175
Total assistance provided - $575. 

CAC Card activated.

Case #: 7944641 

Responders left scene - 8:10 PM. 





",0,0,0,1,0,0,0,4,3,1,575,1/27/2014 23:38,1/27/2014 23:55,1/28/2014 0:15,1/28/2014 1:01,1/28/2014 2:05
129,1/27/2014,14-0697,fire,hot,NA,closed,3254 South Morgan Street,Chicago,IL,60608,Cook,41.834582,-87.651427,"Derrick Hill has a new number 219-293-7893, not yet updated in VC.

Responders arrived on scene.  Were not able to provide services to the clients as the clients were not present on the scene.  

Responders were not able to access fire location due to tall - locked gate.  Exterior of the building appears intact- no windows blown out.  Lights in building were on, and furnace appeared to be working with furnace exhaust coming from exterior of the building.  

Catholic Charities were on scene as well but were not able to offer assistance either due to lack of clients presence.  

Responders left door knocker and left scene at 8:35pm.",0,0,0,0,0,0,0,0,0,0,NA,1/28/2014 0:17,1/28/2014 0:31,1/28/2014 1:05,1/28/2014 2:17,1/28/2014 2:35
130,1/28/2014,14-0700,fire,hot,1-1FGWPH,closed,2106 West Hood Avenue,Chicago,IL,60659,Cook,41.9930471,-87.6826565,"1st floor client on vacation - left card on door. 
apartment totally destroyed.

Landlord - Marty Krenger 312-617-1416",3,2,1,3,0,0,0,2,0,2,610,1/28/2014 15:09,NA,1/28/2014 15:46,1/28/2014 16:35,1/28/2014 18:59
131,1/28/2014,14-0703,fire,hot,1-1FGWPN,closed,16524 East 7500S Road,Pembroke,IL,60958,Kankakee,41.0170958,-87.5555608,"Per Fire Chief house inhabitable - client does not have any insurance. 

16524 E 7500S Rd, Pembroke (Township), IL

Incident is about 1 mile west of the Illinois-Indiana State line, between S 16000E Rd and S 17000E Rd,  southeast of Hopkins Park.",1,1,0,1,0,0,0,1,0,1,360,1/28/2014 16:55,NA,1/28/2014 17:30,1/28/2014 20:41,1/28/2014 21:25
132,1/28/2014,14-0710,fire,hot,1-1FGWPT,closed,4300 South Wells Street,Chicago,IL,60609,Cook,41.8163891,-87.6323736,"OEMC: 312-746-8800
Willie (Trainee): 815-530-9847
Peg (Responder): 630-334-2707

1 case
Case # 8195771
Client: Roy Caffie
Total assistance: $440",1,0,0,0,0,0,0,1,0,1,440,1/29/2014 1:14,1/29/2014 1:14,1/29/2014 1:30,1/29/2014 2:50,1/29/2014 3:52
133,1/29/2014,14-0711,fire,hot,1-1FGZ77,closed,8324 South Maryland Avenue,Chicago,IL,60619,Cook,41.7432,-87.604136,"Please have Health Services follow up w/client!

DA: Major damage, power off, windows out, roof vented, 2nd fl destroyed. (External DA)

Does have insurance",0,1,0,0,0,1,0,5,0,1,1085,1/29/2014 7:04,1/29/2014 7:05,1/29/2014 7:19,1/29/2014 8:40,1/29/2014 9:35
134,1/29/2014,14-0712,fire,hot,1-1FGZBD,closed,4843 Pine Avenue,Hammond,IN,46327,Lake,41.625076,-87.50596,"1.5 sty wd frame

DA; Major damage, power off, windows outs, roof vented",0,1,0,0,0,0,0,1,4,1,925,1/29/2014 10:00,1/29/2014 10:05,1/29/2014 10:15,1/29/2014 11:20,1/29/2014 12:15
135,1/29/2014,14-0714,fire,hot,1-1FHF67,closed,3312 West 61st Place,Chicago,IL,60629,Cook,41.781918,-87.706269,single family home with minor damage with smoke and water along with broken windows and holes in ceiling.The  fire started on 2nd floor of house. The  clothes are salvageable. No utilities are working.,0,0,1,1,0,0,0,3,5,1,595,1/29/2014 15:15,NA,1/29/2014 15:30,1/29/2014 17:16,1/29/2014 18:19
136,1/29/2014,14-0716,fire,cold,1-1FHF6D,closed,2327 South Lawndale Avenue,Chicago,IL,60623,Cook,41.848982,-87.7170019,"Fire. 2 SFH burned down. 9 adults. 2 children.

IPN: Chicago, IL (Cook County)| 1 Alarm Fire| 2326 S Lawndale Ave| FD o/s requesting a Still & Box for the 2 1/2 frame fully involved.| 18:18

residents affected have been moved to church down the street - possibly La Villita Community Church 2300 S. Millard Ave.",2,1,0,0,0,0,0,4,1,2,1100,1/30/2014 0:23,NA,1/30/2014 1:08,1/30/2014 2:10,1/30/2014 3:10
